Priority,Defects in the last four weeks,MTTR,DRE,Open
R1,0,24.7142857142857,0.875,2
R2,0,45.4615384615385,0.6190476190476191,8
R3,0,106,0.4827586206896552,14
R4,0,62.8897637795276,0.3956386292834891,387
