Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
Add ability to filter users by status by clicking on the row counts information,MMP-684,25117,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,4/8/2016 10:54,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"As an MMP administrator, I would like the ability to quickly filter users by status by clicking on the row counts information of the associated status.",,,,,,,,,,,,MMP-699,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzxwdz:,9.22337E+18,,,FY16 Maintenance,,,,3,,,"09/May/16 7:25 AM;DavidTuell;Reviewed in team meeting, no findings.","17/May/16 11:51 AM;FredKrieg;5/17/2016 Fred K and Andrew C ran Zephyr test MMP-699 successfully, test written by Dave T on 5/16/17.",,,
Add counts of users by access status to users table,MMP-683,25116,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,4/8/2016 10:52,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"As an MMP administrator, I would like to see a breakdown of user counts by status in the following format (numbers are an example):

Total number of users: 7     Pending: 0     Allowed: 6     Locked: 1     Denied: 0
",,,,,,,,,,,,MMP-699,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzxwdr:,9.22337E+18,,,FY16 Maintenance,,,,5,,,"09/May/16 7:25 AM;DavidTuell;Reviewed in team meeting, no findings.","17/May/16 11:46 AM;FredKrieg;5/17/2016 Fred K and Andrew C ran Zephyr test MMP-699 successfully, test written by Dave T on 5/16/17.",,,
Replace Actions menu with buttons in table,MMP-679,25112,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,4/8/2016 10:19,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"As an MMP administrator, I would like to have action buttons for View, Edit, and Delete linked to each individual row in the MMP users table.

View - Opens a modal dialog displaying the chosen user's information (read-only dialog)

Edit - Allows editing of the user's information in the modal dialog. (RFI: The SOW only references account status including Approved and Denied, as well as Admin, Designer, User roles. Do you want this to be allowed to modify additional information?)

Delete - Deletes the selected user's account information",,,,,,,,,,,,MMP-696,MMP-697,MMP-698,02/May/16 1:51 PM;DavidTuell;MMP-679_685.docx;https://jira.dev.simventions.com/secure/attachment/13744/MMP-679_685.docx,,,#NAME?,,,,,,,,,,,,,,,2|hzxwdj:,9.22337E+18,,,FY16 Maintenance,,,,13,,,02/May/16 9:13 AM;MatthewDavis;Do not try testing the functionality of updating the user information until the email service stored procs are set up in the user db. Otherwise you will get errors!,"17/May/16 10:51 AM;FredKrieg;5/17/2016 Fred K and Andrew C ran all Zephyr tests (MMP-696, MMP-697, MMP-698) successfully, i.e., tests written by Dave T on 5/16/17.",,,
Implement external task to lock users that have not logged in for 45 days,MMP-677,25086,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,4/5/2016 10:37,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"Implement and configure a automated module that checks the user accounts database daily. If user accounts have not logged in within 45 days, lock the user and send them an email notification.

Include documentation on how to install and configure the checker if it is external to the MMP web application.",,,,,,,,,,,,,,,25/Apr/16 11:56 AM;DavidTuell;MMP-677.docx;https://jira.dev.simventions.com/secure/attachment/13742/MMP-677.docx,,,"- The module retrieves a list of unlocked users that have not logged in within 45 days.
- The module locks the retrieved users automatically
- The module sends any newly locked users an email notification.
- The email notification contains contact information to request that their account be unlocked.",,,,,,,,,,,,,,,2|hzxw6v:,9.22337E+18,,,FY16 Maintenance,,,,5,,,,,,,
Implement external task to email users that have not logged in for 30 days,MMP-676,25082,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,4/5/2016 10:34,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"Implement and configure a automated module that checks the user accounts database daily. If user accounts have not logged in within 30 days, send the user an email.

Include documentation on how to install and configure the checker if it is external to the MMP web application.

(RFI: Daily email or once at the 30-day threshold?)

(RFI: Is it acceptable for this to be in the form of a Windows Service?)

(RFI: How/where do you want this configured. Config file? Installation options?)
",,,,,,,,,,,,,,,03/May/16 11:27 AM;MatthewDavis;MMP-676 - Re-Review.docx;https://jira.dev.simventions.com/secure/attachment/13745/MMP-676+-+Re-Review.docx,25/Apr/16 11:56 AM;DavidTuell;MMP-676.docx;https://jira.dev.simventions.com/secure/attachment/13741/MMP-676.docx,,"- The module retrieves a list of users that have not logged in within the last 30 days.
- The module emails the list of retrieved users, using the email address associated with their account.",,,,,,,,,,,,,,,2|hzxw6n:,9.22337E+18,,,FY16 Maintenance,,,,8,,,16/May/16 12:40 PM;DavidTuell;Will be tested by PO outside of test cycles,,,,
Add HTTPS Header for Reverse Proxy Server,MMP-678,25090,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,4/5/2016 10:44,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,Description and acceptance criteria TBD after discussion with Ivan.,,,,,,,,,,,,,,,06/Jun/16 4:43 PM;MatthewDavis;MMP-678.docx;https://jira.dev.simventions.com/secure/attachment/13824/MMP-678.docx,,,,,,,,,,,,,,,,,,2|hzx6xb:,9.22337E+18,,,FY16 Maintenance,,,,5,,,06/Jun/16 4:43 PM;MatthewDavis;Reviewed. No findings.,07/Jun/16 9:30 AM;DavidTuell;Testing blocked until installation of proxy server is complete.,,,
Stand up MMP Demo Environment,MMP-674,25067,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,4/2/2016 7:54,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,Deploy the released version of MMP to the new MCG dev VMs. Include working version of Roadmap Enterprise Manager for 4.8.x.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzx6wv:,9.22337E+18,,,FY16 Maintenance,,,,8,,,,,,,
Implement Query UI for FACT Surrogate,MMP-605,20880,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,6/14/2015 20:27,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"As an MMP developer, I need to easily be able to demonstrate using the MMP Web API using a simple interface to build query URLs.

Implement the following features:
- Ability to toggle between forms for:
 > Development Effort List (optional search)
 > Individual Development Effort (ID or Name required)
 > Programs of Record List (optional search)
 > Individual Program of Record (ID or Name required)
 > Financial Rollup by PM
 > Financial Rollup by Dev Effort
- Output text field that displays the URL of the submitted query, positioned above the API call output.",,,,,,,,,,,,,,,26/Jun/15 8:41 AM;DavidTuell;MMP-605.docx;https://jira.dev.simventions.com/secure/attachment/12605/MMP-605.docx,,,#NAME?,,,,,,MMP-3,,,,MMP,,,,USMC,2|hzxf7j:,9.22337E+18,,,MMP Sprint 17,,,,20,,,26/Jun/15 8:42 AM;DavidTuell;Findings from review will be addressed in subsequent sprint (Sprint 18) since this is a test harness and not an end-user application.,,,,
Object saving optimization patch,MMP-658,21319,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,7/20/2015 11:46,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"Implement a patch to avoid O(n) queries when the DataEditorAPI class in Informedb Enterprise retrieves metadata from _AttributesTable.

Perform benchmark analysis on app2012.",,,,,,,,,,,,,,,21/Jul/15 1:10 PM;MatthewSerbinski;MMP Code Review Checklist - MMP-658.docx;https://jira.dev.simventions.com/secure/attachment/12707/MMP+Code+Review+Checklist+-+MMP-658.docx,,,#NAME?,,,,,,,,,,,,,,,2|hzx6wf:,9.22337E+18,,,MMP Sprint 19,,,,3,,,,,,,
Write Demonstration Plan for FACT Surrogate,MMP-551,20595,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,5/20/2015 14:57,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"Document a brief series of steps that details how the FACT surrogate will be demonstrated to the customer. Include details such as network locations of both the surrogate and the MMP instance being queried, test cases being demonstrated, and expected results.",,,,,,,,,,,,,,,09/Jul/15 2:24 PM;MatthewSerbinski;FACT surrogate demonstration plan.docx;https://jira.dev.simventions.com/secure/attachment/12651/FACT+surrogate+demonstration+plan.docx,08/Jul/15 12:12 PM;MatthewDavis;FACT surrogate demonstration plan.docx;https://jira.dev.simventions.com/secure/attachment/12639/FACT+surrogate+demonstration+plan.docx,,#NAME?,,,,,,MMP-3,,,,,,,,,2|hzxf9j:,9.22337E+18,,,MMP Sprint 18,,,,8,,,09/Jul/15 2:24 PM;MatthewSerbinski;updated some terminology and replaced app2012 website with the damneck website address,,,,
HTML Injection Vulnerability in Breadcrumb Updates,MMP-581,20709,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewDavis,DavidTuell,DavidTuell,5/28/2015 14:33,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When attempting to update the name of a program, development effort, or roadmap, the application accepts input as is and updates the breadcrumb page title without sanitizing the input.

Sanitize input of object names to ensure arbitrary code is not executed by entering it as an object name.",,,,,,,,,,,,,,,05/Jun/15 12:05 PM;MatthewDavis;MMP-581 Pt. 2.docx;https://jira.dev.simventions.com/secure/attachment/12562/MMP-581+Pt.+2.docx,03/Jun/15 7:45 PM;DavidTuell;MMP-581.docx;https://jira.dev.simventions.com/secure/attachment/12556/MMP-581.docx,,"- Name updates to existing objects is not vulnerable to HTML Injection (cannot execute arbitrary JavaScript).
- Creation of objects is not vulnerable to HTML Injection.",,,,,,,,,,MMP,,,,USMC,2|hzxezz:,9.22337E+18,,,MMP Sprint 16,,,,5,,,,,,,
